gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
2984525634	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103596304/original.jpeg	https://www.inaturalist.org/photos/103596304					2020-11-08T21:03:52Z	Caroline		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Caroline
2984525634	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103596314/original.jpeg	https://www.inaturalist.org/photos/103596314					2020-11-08T21:03:59Z	Caroline		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Caroline
2984525634	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103596329/original.jpeg	https://www.inaturalist.org/photos/103596329					2020-11-08T21:04:06Z	Caroline		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Caroline
2984523833	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103856249/original.jpg	https://www.inaturalist.org/photos/103856249					2020-11-07T12:09:23Z	bernicemitchener		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	bernicemitchener
2984495004	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/104098387/original.jpeg	https://www.inaturalist.org/photos/104098387					2020-11-12T17:56:39Z	Gideon van Melle		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gideon van Melle
2984495004	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/104098389/original.jpeg	https://www.inaturalist.org/photos/104098389					2020-11-12T17:55:25Z	Gideon van Melle		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Gideon van Melle
2984488949	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103981762/original.jpeg	https://www.inaturalist.org/photos/103981762					2020-11-11T16:48:50Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2984482953	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/104036272/original.jpeg	https://www.inaturalist.org/photos/104036272					2020-11-12T05:15:41Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2984470699	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103635713/original.jpeg	https://www.inaturalist.org/photos/103635713					2020-11-08T22:07:08Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2984450571	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103438144/original.jpeg	https://www.inaturalist.org/photos/103438144					2020-11-07T17:16:12Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2984434847	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103862850/original.jpeg	https://www.inaturalist.org/photos/103862850					2020-11-10T16:37:45Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2984423913	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103981780/original.jpeg	https://www.inaturalist.org/photos/103981780					2020-11-11T16:48:12Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2984368788	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103778311/original.jpeg	https://www.inaturalist.org/photos/103778311					2020-11-10T02:34:02Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2984362930	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103980288/original.jpeg	https://www.inaturalist.org/photos/103980288					2020-11-11T16:50:06Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2981187329	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103318421/original.jpeg	https://www.inaturalist.org/photos/103318421					2020-11-06T16:21:46Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2981084030	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103008368/original.jpeg	https://www.inaturalist.org/photos/103008368					2020-10-27T11:44:00Z	Herman Berteler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Herman Berteler
2981084030	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103008695/original.jpeg	https://www.inaturalist.org/photos/103008695					2020-10-27T11:44:00Z	Herman Berteler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Herman Berteler
2981084030	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103008699/original.jpeg	https://www.inaturalist.org/photos/103008699					2020-10-27T11:44:00Z	Herman Berteler		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Herman Berteler
2981074923	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/102881211/original.jpg	https://www.inaturalist.org/photos/102881211					2020-11-02T14:00:43Z	mariektiek		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	mariektiek
2981046465	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/95221797/original.jpeg	https://www.inaturalist.org/photos/95221797					2020-09-14T19:37:34Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2981046465	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/95174003/original.jpeg	https://www.inaturalist.org/photos/95174003					2020-09-14T14:58:55Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
2981045315	StillImage	image/jpeg	https://inaturalist-open-data.s3.amazonaws.com/photos/103436630/original.jpeg	https://www.inaturalist.org/photos/103436630					2020-11-07T16:16:09Z	Anja Cervencl		iNaturalist	http://creativecommons.org/licenses/by-nc/4.0/	Anja Cervencl
